FILM,Fandango_stars,Fandango_rating,RottenTomatoes,RottenTomatoes_User,Metacritic,Metacritic_User,IMDB,Fandango_user_vote_count,Metacritic_user_vote_count,IMDB_user_vote_count,YEAR,Rotten_critic_user_diff,Metacritic_critic_user_diff,Fandango_stars_diff
Fifty Shades of Grey (2015),4.0,3.9,1.2,2.1,2.3,1.6,2.1,34846,778,179506,2015,0.9000000000000001,0.6999999999999997,0.10000000000000009
Jurassic World (2015),4.5,4.5,3.6,4.0,3.0,3.5,3.6,34390,1281,241807,2015,0.3999999999999999,0.5,0.0
American Sniper (2015),5.0,4.8,3.6,4.2,3.6,3.3,3.7,34085,850,251856,2015,0.6000000000000001,0.30000000000000027,0.20000000000000018
Furious 7 (2015),5.0,4.8,4.0,4.2,3.4,3.4,3.7,33538,764,207211,2015,0.20000000000000018,0.0,0.20000000000000018
Inside Out (2015),4.5,4.5,4.9,4.5,4.7,4.4,4.3,15749,807,96252,2015,0.40000000000000036,0.2999999999999998,0.0
The Hobbit: The Battle of the Five Armies (2014),4.5,4.3,3.0,3.8,3.0,3.5,3.8,15337,903,289464,2014,0.7999999999999998,0.5,0.20000000000000018
Kingsman: The Secret Service (2015),4.5,4.2,3.8,4.2,2.9,4.0,3.9,15205,1054,272204,2015,0.40000000000000036,1.1,0.2999999999999998
Minions (2015),4.0,4.0,2.7,2.6,2.8,2.8,3.4,14998,204,55895,2015,0.10000000000000009,0.0,0.0
Avengers: Age of Ultron (2015),5.0,4.5,3.7,4.3,3.3,3.6,3.9,14846,1330,271107,2015,0.5999999999999996,0.30000000000000027,0.5
Into the Woods (2014),3.5,3.4,3.6,2.5,3.4,3.0,3.0,13055,307,81679,2014,1.1,0.3999999999999999,0.10000000000000009
Cinderella (2015),5.0,4.5,4.2,4.0,3.4,3.8,3.6,12640,249,65709,2015,0.20000000000000018,0.3999999999999999,0.5
Ant-Man (2015),5.0,4.5,4.0,4.5,3.2,4.0,3.9,12055,627,103660,2015,0.5,0.7999999999999998,0.5
Mad Max: Fury Road (2015),4.5,4.3,4.8,4.4,4.4,4.4,4.2,10509,2375,292023,2015,0.39999999999999947,0.0,0.20000000000000018
San Andreas (2015),4.5,4.3,2.5,2.9,2.2,2.8,3.2,9749,199,45723,2015,0.3999999999999999,0.5999999999999996,0.20000000000000018
Unbroken (2014),4.5,4.1,2.6,3.5,3.0,3.2,3.6,9443,218,77518,2014,0.8999999999999999,0.20000000000000018,0.40000000000000036
Spy (2015),4.5,4.3,4.6,4.1,3.8,3.2,3.6,9418,318,66636,2015,0.5,0.5999999999999996,0.20000000000000018
Magic Mike XXL (2015),4.5,4.4,3.1,3.2,3.0,2.7,3.2,9363,52,11937,2015,0.10000000000000009,0.2999999999999998,0.09999999999999964
Trainwreck (2015),4.5,4.1,4.2,3.7,3.8,3.0,3.4,8381,169,27380,2015,0.5,0.7999999999999998,0.40000000000000036
Straight Outta Compton (2015),5.0,4.8,4.5,4.7,3.6,3.6,4.2,8096,90,15982,2015,0.20000000000000018,0.0,0.20000000000000018
Tomorrowland (2015),4.0,3.7,2.5,2.6,3.0,3.2,3.3,8077,262,42937,2015,0.10000000000000009,0.20000000000000018,0.2999999999999998
The Imitation Game (2014),5.0,4.6,4.5,4.6,3.6,4.1,4.0,8055,566,334164,2014,0.09999999999999964,0.49999999999999956,0.40000000000000036
Home (2015),4.5,4.4,2.2,3.2,2.8,3.6,3.4,7705,177,41158,2015,1.0,0.8000000000000003,0.09999999999999964
The Divergent Series: Insurgent (2015),4.5,4.2,1.5,3.0,2.1,2.7,3.2,7123,206,89618,2015,1.5,0.6000000000000001,0.2999999999999998
